ID,Indeks
4,SB3203001496
258,SB3203000251
263,SB3203000256
268,SB3203000261
273,SB3203000266
278,SB3203000271
283,SB3203000276
287,SB3206000465
288,SB3206000466
289,SB3206000467
290,SB3206000468
291,SB3206000469
292,SB3206000470
293,SB3206000471
294,SB3206000472
295,SB3206000473
296,SB3206000474
297,SB3206000475
298,SB3206000476
299,SB3206000477
300,SB3206000478
301,SB3206000479
302,SB3206000480
303,SB3206000481
304,SB3206000482
305,SB3206000483
306,SB3206000484
307,SB3206000485
308,SB3206000486
309,SB3206000487
310,SB3206000488
311,SB3206000489
312,SB3206000490
313,SB3206000491
314,SB3206000492
315,SB3206000493
316,SB3206000494
317,SB3206000495
318,SB3206000496
398,SB2906000079
491,SB1003000123
492,SB1003000124
493,SB1003000125
494,SB1003000126
495,SB1003000127
496,SB1003000128
497,SB1003000129
498,SB1003000130
499,SB1003000131
526,SB1006000173
535,SB2906000050
536,SB2906000051
537,SB2906000052
596,SB3206000855
597,SB3206000856
598,SB1003000727
599,SB1003000728
601,SB1003000730
602,SB1003000731
603,SB1003000732
604,SB1003000733
644,SB1006000985
645,SB3206000864
664,SP2306000149
680,SP2706000006
741,SP2206000007
742,SP2206000008
767,SP2006000002
768,SP2006000003
769,SP2006000004
770,SP2006000005
771,SP2006000006
772,SP2006000007
773,SP2006000008
774,SP2006000009
775,SP2006000010
776,SP2006000011
777,SP2006000012
783,SP1606000018
965,SB1006001077
966,SB1006001078
967,SB1006001079
968,SB1006001080
969,SB1006001081
970,SB1006001082
971,SB1006001083
972,SB1006001084
973,SB1006001085
974,SB2906000096
975,SB2906000097
976,SB2906000098
977,SB2906000099
978,SB2906000100
979,SB2906000101
1003,SB2906000126
1004,SB2906000127
1005,SB2906000128
1022,SB2906000129
1029,SB2906000146
1030,SB1003001335
1036,SB2906000147
1037,SB2906000148
1050,SB1006001336
1051,SB2906000149
1098,SB2906000188
1111,SB2906000189
1116,SB1006001516
1117,SB1006001517
1118,SB1006001518
1133,SB2906000225
1134,SB2906000226
1135,SB2906000227
1140,SB3206001080
1144,SB2906000228
1145,SB2906000229
1212,SB2906000114
1243,SB2906000136
1262,SB2906000164
1263,SB2906000165
1264,SB2906000166
1265,SB2906000167
1328,SB2906000224
1333,SB2706000253
1334,SP2006000018
1335,SP2006000019
1336,SP2006000020
1337,SP2006000021
1338,SP2006000022
1352,MP2306000253
1376,SB1006002226
1377,SB1006002227
1379,SP1306000133
1383,SB1006002228
1386,SB2906000263
1399,SB1006002234
1406,SB3206001111
1413,SB2906000287
1414,SB2906000288
1415,SB2906000289
1416,SB2906000290
1427,SB1003002433
1610,SB3206000022
1611,SB3206000023
1621,SB3203000033
1627,SB3203000039
1633,SB3203000045
1639,SB3203000057
1645,SB3203000063
1651,SB3203000069
1657,SB3203000075
1663,SB3203000081
1668,SB3203000086
1673,SB3203000091
1678,SB3203000096
1683,SB3203000101
1688,SB3203000106
1693,SB3203000111
1717,SB2906000258
1722,SB1003002130
1733,SB3206001165
1751,SB2906000271
1753,SB1006002330
1787,SB2906000297
1788,SB3206001187
1789,SB2906000298
1790,SB2906000299
1801,SB2703000313
1818,SB3206001204
1823,SB2906000316
1825,SB2906000310
1828,SB2906000329
1829,SB2906000322
1831,SB2906000315
1832,SB2906000331
1833,SB3203000181
1835,SB3206000016
1836,SB3206001206
1839,SB3206000017
1840,SB2906000318
1841,SB3206000018
1843,SB3206000011
1845,SB1006003081
1846,SB3206000004
1847,SB3206000012
1848,SB3206000005
1849,SB3206000865
1850,SB3206000013
1851,SB3206000006
1852,SB3206000007
1867,SB3206001301
1869,SB3206001302
1871,SB2308000370
1881,SB3203001271
1884,SB2906000376
1892,SB3206001256
1893,SB3206001257
1918,SB1006002868
1919,SB1006002869
1920,SB1006002870
1922,SB3206001195
1951,SB1006003167
1952,SB1006003147
1953,SB1003003128
1977,SB3206000008
1978,SB3206000009
1984,SB3203000051
1989,SB3203000161
1990,SB3203000176
1992,SB1006000174
1993,SB1006000181
1994,SB1006000182
1995,SB1006000183
1996,SB1006000184
1997,SB1006000185
1998,SB1006000186
1999,SB1006000187
2001,SB2903000055
2002,SB2903000057
2003,SB2903000058
2004,SB2903000060
2005,SB2903000061
2006,SB2903000062
2007,SB2903000064
2008,SB2903000066
2010,SB3206000743
2011,SB3206000762
2015,SB1003003313
2023,SB3206001269
2028,SB2906000349
2030,SB3206001270
2031,SB2906000354
2032,SB1003003318
2054,SB3206001300
2069,SB1003003740
2071,SB1003003741
2092,SB1003004003
2105,SB3203001332
2114,SB2903000393
2139,SB3203000116
2144,SB3203000121
2149,SB3203000126
2154,SB3203000131
2159,SB3203000136
2164,SB3203000141
2169,SB3203000146
2174,SB3203000151
2179,SB3203000156
2184,SB3203000166
2189,SB3203000171
2202,SB3203000186
2207,SB3203000191
2212,SB3203000196
2217,SB3203000201
2222,SB3203000206
2227,SB3203000211
2232,SB3203000216
2237,SB3203000221
2242,SB3203000226
2247,SB3203000231
2252,SB3203000236
2257,SB3203000241
2262,SB3203000246
2265,SB3203000281
2270,SB3203000286
2275,SB3203000291
2280,SB3203000296
2285,SB3203000301
2290,SB3203000306
2295,SB3203000311
2300,SB3203000316
2305,SB3203000321
2408,SB1006003492
2413,SB2906000367
2417,SB2903000368
2419,SB1008003499
2425,SB3206001314
2436,SB3206001313
2439,SB2206000263
2455,SB1003004112
2456,SB1003004113
2457,SB1003004114
2458,SB1003004115
2459,SB1003004116
2460,SB1003004117
2461,SB1003004118
2462,SB1003004119
2463,SB1003004120
2464,SB1003004121
2465,SB1003004122
2466,SB1003004123
2467,SB1003004124
2468,SB1003004125
2469,SB1003004126
2470,SB1003004127
2471,SB1003004128
2472,SB1003004129
2473,SB1003004130
2474,SB1003004131
2475,SB1003004132
2476,SB1003004133
2477,SB1003004134
2488,SB1003004331
2489,SB1003004332
2528,SB2903000405
2552,SB1003004504
2553,SB1003004505
2562,SB2903000508
2565,SB1003005431
2566,SB2903000507
2567,SB3203001492
2580,SB3803000050
2620,SB2903000403
2624,SB1003004409
2625,SB2903000404
2634,SB1003004515
